id,ClassId
2488,34
4783,12
7020,34
6558,3
1424,29
5793,11
4271,10
6976,4
4476,9
863,1
3901,38
3002,10
4743,30
499,7
4030,13
5556,9
5932,2
4791,12
4153,2
5166,8
3811,16
2237,7
5768,25
5843,3
5609,8
4444,1
6335,33
3222,38
3682,25
5289,36
4323,11
4120,3
7126,38
6047,12
5623,35
5657,2
6948,10
3243,18
2026,2
1111,21
4317,2
7648,5
4240,13
6027,3
3496,1
7449,13
1061,8
4782,12
3163,1
6826,18
6105,32
5716,2
5993,9
3042,33
5227,10
475,1
728,40
6502,28
1497,10
4923,11
547,1
6163,25
4815,4
7081,25
1478,2
3392,10
1370,8
3409,38
348,7
2825,7
1013,3
6632,14
3239,7
3096,15
1375,5
6568,2
2037,25
6613,8
3825,13
6882,15
6252,3
6005,5
366,15
5734,2
3242,4
2605,5
2717,38
6442,25
7013,2
4499,1
4835,2
5931,13
7381,9
3408,7
3302,25
2838,10
262,7
5131,4
3155,20
2464,15
7775,5
4160,25
6642,31
3156,10
443,2
6405,20
3821,25
1486,22
7435,12
1091,9
3341,10
1348,9
2092,7
6797,9
6370,10
7512,9
787,7
6946,13
3625,40
5464,10
1172,25
2764,10
6969,12
5189,30
3762,12
3545,1
2976,30
7375,4
3135,7
3716,1
3604,31
6102,4
2653,38
7291,1
4881,34
6965,12
6416,33
7661,2
2260,13
6428,1
3226,2
64,9
678,41
5499,23
4495,4
1816,40
2373,11
1801,2
5636,31
7654,40
6036,4
3427,18
5470,20
5688,12
6588,11
1593,11
4148,15
561,2
2855,8
7767,2
7776,4
5090,2
6785,34
1112,3
6221,38
154,4
2367,12
5733,9
5756,8
4754,25
409,21
6279,17
846,18
3175,21
4597,18
3173,41
7027,7
1301,12
5133,13
1894,7
5091,12
7149,4
4553,4
7555,30
2684,2
1048,17
552,12
488,30
6082,3
7551,41
7798,17
6325,42
3653,11
3316,13
57,38
3529,7
5158,16
864,21
7348,33
340,12
5542,11
3339,1
7315,2
4455,18
3799,8
4642,3
628,41
6006,12
4310,4
4750,25
425,25
4502,13
6058,4
2862,5
4333,12
3102,13
4714,4
3028,3
5913,2
1704,14
6113,2
611,12
7669,12
3500,3
4340,13
802,11
2547,20
2388,29
1201,21
4940,38
3504,12
103,30
6322,40
5600,2
7289,20
7037,8
1921,18
3190,11
805,3
4670,12
1219,8
590,10
6103,7
7374,3
6374,25
4981,17
1102,1
4674,20
4371,13
7350,13
1685,15
5459,1
3904,28
7279,13
1286,33
6777,16
4002,5
6651,25
6966,35
7413,27
1851,1
5093,4
3828,31
1480,11
4864,17
1464,3
4482,5
2426,13
994,2
1885,18
6791,7
7061,24
1654,12
7188,11
7666,3
6195,9
799,1
3990,16
3866,2
827,12
2229,3
4074,38
3732,7
718,25
4025,31
4393,10
6194,13
2937,13
7752,34
5918,10
2791,40
5568,2
6329,34
2528,35
42,13
423,3
6960,4
6559,10
199,2
7398,2
3450,13
7731,12
511,20
5486,30
7548,10
6899,4
3104,27
2521,29
3318,17
5516,5
3279,5
4398,38
2020,7
880,12
1211,23
3643,13
571,30
3040,40
4184,30
2864,38
6157,10
5472,25
606,4
4426,25
3142,2
6454,26
3871,38
725,30
2577,28
295,7
7001,5
4100,17
6357,28
7003,4
1981,7
2538,25
7825,35
1081,10
457,13
258,25
3578,1
1555,34
5532,12
157,17
1017,5
3064,4
7559,30
4917,8
2358,41
6620,40
3801,1
6208,40
5407,17
3765,31
2195,3
5266,20
2127,9
3850,25
4985,5
7837,18
4734,7
1335,13
3959,11
4727,3
2795,12
7766,11
972,13
4103,5
7052,25
7393,13
7600,20
3225,3
559,14
6097,25
3215,12
5665,12
1265,17
4953,4
6879,4
2053,4
2767,37
208,12
1911,5
1522,7
2848,19
3769,15
3265,4
653,4
5701,18
5629,10
5726,38
2602,11
2844,11
3317,5
1621,8
1084,1
2034,28
5534,13
1179,21
5620,13
6652,11
3984,2
2295,8
703,4
5759,13
3806,40
1917,7
1508,2
480,7
6377,7
2005,41
5037,12
3205,10
558,2
3704,3
1031,13
421,2
4779,7
7175,11
3839,3
7245,13
5804,7
2283,25
3452,31
114,1
1990,40
7063,2
6951,12
3599,25
4318,4
1316,40
5763,4
4831,22
2872,17
3615,8
3137,15
7360,9
1124,20
4034,10
7694,5
6173,3
2078,4
3570,10
1984,12
2149,20
6534,5
3361,38
3941,31
7618,10
4947,3
991,1
4677,38
7183,12
5033,12
2748,1
7388,10
7549,4
1827,2
20,30
4285,12
3364,34
3774,10
4563,25
3391,8
6602,7
5492,8
2916,4
1694,13
3923,11
7341,2
7444,3
3785,9
3127,2
5408,8
2985,11
7560,18
1339,40
5224,2
296,14
3558,10
3484,4
1566,4
3116,2
4151,1
6189,10
4621,38
3849,3
1097,29
7664,6
4336,12
6258,31
763,38
5055,38
5771,5
7028,2
2831,40
2142,40
693,1
5507,17
4939,3
4415,4
5528,4
1488,3
2262,12
336,4
407,4
6682,34
3712,10
1044,15
3048,3
4467,28
4494,10
3912,12
1586,41
5910,12
2530,20
6380,13
2046,23
4738,8
5919,8
5401,32
7379,2
6445,40
3270,30
6,35
439,2
351,4
828,22
883,10
5424,1
2735,11
3472,4
1040,1
2940,18
4972,11
5559,2
5674,9
5696,11
7518,8
6805,25
248,2
7250,33
2799,12
1443,40
2254,31
3921,4
7049,2
4753,12
1645,13
6931,4
91,25
2691,10
6323,38
155,12
6441,5
4474,25
1451,36
7587,20
6073,2
7046,2
142,7
7615,10
7062,20
420,35
5508,36
1199,34
3594,13
6755,38
6950,9
4770,30
4645,11
7373,10
6840,9
432,4
484,35
3709,34
3387,11
4720,10
2314,18
777,13
410,40
5106,25
4174,15
5081,25
984,38
179,2
3750,1
7500,11
5162,34
3571,35
2640,9
4513,4
1292,3
7469,2
692,25
2689,38
4710,2
7210,4
5747,33
3384,13
2412,7
5071,22
6829,8
3948,3
7231,13
7417,18
6328,5
3199,20
7667,34
6715,27
4436,7
6459,9
4739,5
2719,9
190,12
5922,25
1906,2
291,1
6984,34
7019,12
641,9
3582,36
1729,13
5119,17
1551,11
6412,41
1510,18
3633,7
734,2
6347,17
469,38
1377,34
2828,2
3247,34
3094,1
4517,11
6667,13
4425,4
4007,15
2711,26
2724,10
3608,23
1617,6
435,9
1869,38
952,3
5764,8
2359,4
6124,12
1389,34
6543,5
280,15
1672,21
4784,27
6484,18
6162,13
1473,40
253,13
1504,10
5924,4
3872,12
4458,17
5683,13
249,8
4197,8
3145,1
4918,41
5527,4
4573,38
5718,7
2438,40
5524,9
118,2
2852,7
7581,7
1228,2
4747,15
627,2
4441,12
7216,31
1571,17
2027,11
6419,4
130,2
2999,2
648,13
1363,3
6917,3
2308,15
7302,17
7699,4
5367,1
234,7
428,41
824,30
3744,1
2815,20
752,25
2816,33
1638,40
1077,20
3424,25
4085,11
3167,2
2565,10
4064,34
572,13
664,5
2248,40
6874,25
3211,8
2966,7
4238,5
6452,12
6076,2
338,3
2868,28
2806,15
2904,4
597,38
2329,3
5639,4
4143,5
4386,38
2869,38
3773,13
2790,25
4522,2
5072,13
4756,4
5755,25
6390,41
1412,10
7134,9
5497,4
1776,10
1554,31
4855,13
5934,25
7726,2
6757,10
5120,2
1920,13
6593,12
1247,2
720,8
4457,38
6301,13
1856,2
2468,9
6796,5
5046,35
1276,33
5105,5
6202,35
6180,1
5906,8
6393,3
7612,17
2175,7
7470,10
3128,13
3936,11
2368,2
2947,10
754,1
6029,33
6764,13
7226,8
7841,9
2036,14
2840,10
273,34
3179,20
4372,1
7185,38
516,5
5320,7
3674,11
4233,5
2693,0
5295,11
3182,1
5897,34
5678,25
254,12
3262,3
1778,18
645,13
5427,12
2249,7
5000,13
7656,2
3249,2
2060,1
7815,38
3557,12
3080,12
300,11
554,7
2114,30
4838,8
4239,1
1977,9
6134,12
3607,38
1942,10
53,37
6810,13
7176,25
6544,13
4769,25
5865,5
7077,33
5019,13
3112,2
7460,2
6876,4
6541,33
5745,30
4237,1
4111,2
743,33
2269,8
4470,12
4081,15
4210,38
5589,12
6903,8
6361,2
7137,3
6549,14
3895,8
5861,33
3477,2
2625,4
4601,9
2323,11
2701,10
5054,1
7441,1
804,1
6734,40
569,3
6635,13
903,2
3386,4
3565,4
4999,15
7807,18
2252,5
2334,11
7158,17
6337,23
517,9
3734,2
6535,11
3428,1
7253,25
2065,9
6253,2
6364,4
4421,13
2075,11
3810,40
4554,34
6717,4
1988,1
168,12
5229,4
595,2
3826,40
1331,2
3833,2
1578,38
6272,31
3974,10
2667,18
4544,4
6224,35
6941,11
5286,10
687,4
3631,31
7823,3
1890,9
1099,38
2287,16
6821,25
5411,11
2956,31
6857,8
2814,7
738,28
419,25
7067,5
6466,9
6421,9
1403,15
3938,23
568,1
7723,9
497,10
1524,4
5306,25
2572,2
4181,10
5929,2
6504,18
1769,1
7095,30
2796,1
4827,15
2246,9
7806,9
6698,34
1189,11
7192,30
3473,13
4706,2
817,34
3517,13
6283,9
1673,34
7769,3
4849,40
3129,1
4176,10
3174,9
2055,25
3730,5
5573,1
7014,9
6665,4
110,7
1711,41
2738,38
1780,8
7695,29
193,13
1951,10
5239,13
3422,25
2280,10
7232,30
4112,2
4995,13
5469,8
7339,2
408,12
7194,1
5474,33
9,2
4462,4
3071,12
2410,24
3020,13
4751,2
3547,4
6461,12
7099,4
6004,3
6782,12
2369,38
7463,3
1215,1
4792,25
3255,2
2654,4
7087,12
7389,10
4054,12
2099,2
6438,9
3745,13
6492,9
331,12
6128,26
5176,11
5679,13
5575,13
4161,11
1676,11
3117,7
665,38
3306,34
600,10
7693,25
7172,12
4797,13
1130,30
5784,34
5436,33
7489,12
3863,2
6794,4
1489,13
6683,7
5042,3
7141,40
6669,8
1703,8
24,8
2524,5
783,2
3884,30
6446,33
4545,38
5557,4
244,33
5219,17
7386,34
565,20
6508,15
4640,40
570,7
557,11
7322,9
7622,7
7084,5
892,7
4611,12
957,4
3,13
765,2
4403,13
749,6
7256,7
7058,23
84,13
4073,3
6624,10
5335,15
7396,38
3038,25
5808,12
3172,34
3188,8
2318,1
4319,1
2458,11
5060,30
7299,16
3909,31
7744,1
7051,9
4740,14
2706,1
930,2
4193,34
7309,33
6297,27
1950,16
6789,14
346,11
4256,1
6958,2
1786,9
2453,21
1052,7
6839,8
464,10
7582,10
36,11
3562,33
2389,31
7240,3
672,18
5181,8
5361,4
220,4
6048,8
4352,38
5787,4
4384,10
6806,15
6640,1
2447,6
4131,17
4231,38
6501,9
2159,35
791,2
3218,11
2808,12
4843,34
6225,25
223,4
5362,7
3480,7
2069,12
7002,40
730,30
474,13
3688,8
6248,33
1101,13
7059,25
7472,27
898,12
4152,11
3751,18
328,10
3686,6
5899,21
662,25
7487,30
5579,10
1332,4
7741,30
5371,12
1023,38
1817,2
5610,11
6465,11
1431,20
7355,5
329,10
436,12
149,3
3812,38
7501,13
405,13
7425,9
6209,9
2402,8
3687,6
2887,8
7743,11
750,1
3085,7
2198,4
1570,23
7261,10
4169,9
3531,3
1854,18
2045,4
3668,33
424,13
4314,18
5152,25
2,7
3315,1
4851,15
3655,7
4518,1
4664,16
7285,1
3929,25
4787,7
7273,9
3666,9
7138,18
1557,40
1036,2
7636,10
6962,40
5652,10
2975,1
6580,38
1606,0
5014,2
3919,18
928,11
5816,13
5099,26
5013,11
61,2
7196,10
1364,10
3109,40
4080,10
7060,3
531,38
333,25
4257,30
3025,11
2964,31
6274,38
888,12
2948,23
7756,7
1467,8
7399,10
2930,10
5277,32
5817,18
2591,4
3982,2
3347,11
1527,8
3581,8
3556,11
2939,34
7670,9
6332,38
28,31
931,12
6675,1
6845,10
4061,12
7163,2
2168,33
4984,40
6355,38
6804,30
977,30
840,7
560,1
1133,2
5038,15
3258,13
81,38
2909,10
7071,13
6621,1
1562,32
4452,10
101,2
4941,3
3877,28
6060,10
5139,2
6990,9
4656,10
2002,3
6944,36
2889,40
5670,12
1712,10
5011,38
1843,12
5811,31
5467,14
6159,8
6340,20
2439,18
1585,31
6231,8
2288,1
2996,23
5803,5
7839,1
1625,2
3824,13
3499,4
2608,13
6265,10
1568,25
306,12
372,1
2430,11
5149,13
3346,10
1777,5
1757,5
1883,26
3433,3
403,1
476,1
5292,10
7128,5
5245,13
5001,7
4431,40
6205,20
1846,8
1653,4
6166,13
3857,2
2049,35
4363,8
1369,11
6487,15
5343,20
4297,7
916,3
3253,5
312,8
441,4
4742,6
1968,7
6860,1
6881,8
2510,20
3289,13
5549,2
5313,12
3718,34
6033,9
7637,2
2090,1
7197,15
5221,13
1180,38
2463,7
2936,12
4255,8
1888,25
3662,3
1001,4
7505,9
757,3
2483,8
3754,40
2573,4
1321,12
1675,1
3438,12
7558,25
7280,40
1324,5
6853,11
6171,22
1492,1
1256,8
3791,2
3873,28
1576,5
88,25
1365,4
2908,12
3848,2
7803,2
1746,3
107,1
2567,2
4622,7
1302,26
4014,9
3503,25
6815,13
7702,33
4466,41
3146,5
2276,9
2519,10
7203,12
2931,1
5952,4
6820,38
7508,2
3731,1
4510,7
1441,3
2355,38
2759,25
4449,40
5881,18
2371,21
231,11
5900,5
87,12
4191,8
6114,4
3304,2
6238,12
1157,10
3893,25
1192,7
7320,25
1589,10
1378,10
7432,20
4019,9
2554,11
5738,4
3679,12
19,34
5155,1
6059,10
583,2
4420,12
7481,17
1066,22
3540,7
1507,12
3354,4
2152,14
4109,7
1220,12
4929,10
4268,29
1384,1
5455,25
7365,18
7553,31
3457,32
5355,12
1414,13
889,21
3728,1
3336,1
6110,1
2264,1
4580,31
5807,2
1895,20
1428,33
2954,1
1787,8
5416,19
1958,3
2138,1
1423,25
1759,7
5868,23
3463,13
5994,5
6406,8
6111,18
5496,13
3193,8
6084,40
4434,25
6199,2
6731,1
6321,11
5668,23
7478,40
2564,29
4187,5
2357,27
2150,1
6940,41
3502,15
6739,17
5171,12
3031,23
2787,2
1836,2
1873,2
4096,33
4882,11
4362,3
6528,10
47,12
866,13
1006,10
5164,18
5750,2
1940,34
6141,19
2569,29
3883,38
6294,1
3051,1
5694,1
7281,9
7252,25
5278,13
426,20
3399,8
2769,40
11,28
6178,11
1996,22
5080,25
7204,1
555,7
3267,12
2182,13
5661,2
2702,24
3200,10
3212,13
3027,12
5944,1
5815,3
5298,17
6875,4
3283,7
6638,2
7655,4
2849,35
4613,25
1194,4
417,11
1597,2
3634,1
764,13
4270,30
1383,18
5848,0
345,25
6314,4
173,20
6763,40
7142,11
2775,15
6527,4
4139,10
3016,9
5707,38
1406,20
4780,13
989,18
1748,25
7346,38
5517,12
6271,15
3437,36
2457,1
2800,12
4395,5
513,31
92,7
3013,10
5137,10
1300,20
786,1
3456,10
1848,13
141,12
6247,40
7770,38
7779,25
988,2
429,34
5314,13
1864,8
550,8
2469,13
4543,12
3951,3
140,11
2343,1
6615,5
380,3
3197,2
2978,15
5785,13
671,4
7148,9
1145,11
6315,12
785,13
830,17
6261,8
1680,1
7466,40
7357,10
5184,17
669,21
7525,33
6212,27
2801,9
4050,40
7173,11
2562,14
5841,12
2633,26
711,33
1086,4
6389,29
1812,11
6062,38
6901,17
2837,25
7674,2
4938,25
6240,29
2920,4
1415,38
4166,12
7406,2
7682,8
6211,8
7451,30
1344,5
4123,10
1495,29
7356,9
4259,4
5378,10
2351,8
353,23
3227,34
6498,22
7516,5
3181,4
3725,1
1543,2
868,17
5713,1
3561,28
5103,2
5618,35
1861,5
5089,10
2416,8
1642,11
6659,2
5662,40
5754,20
2244,19
6566,13
3201,1
1667,5
4116,25
5075,25
1057,7
4012,2
4056,10
6582,11
4220,0
1697,10
519,2
5127,8
2302,28
2611,7
4758,38
5818,27
6127,25
2993,10
6495,12
7791,2
1948,1
1455,9
5799,3
7810,6
4861,4
3374,4
1283,25
5857,4
4448,5
3551,10
1207,26
1790,25
6216,12
3994,25
3278,25
6266,17
6584,3
6000,38
5357,38
5479,34
7584,10
1536,33
317,12
6071,9
2953,7
7283,4
7496,34
3095,1
6623,21
2208,3
2273,13
6206,31
5056,5
959,11
7000,7
7078,23
5926,11
3467,41
1083,25
7305,31
5285,10
7754,3
6824,11
4945,28
7498,2
2726,10
4626,4
7689,1
6052,25
2265,10
2615,4
1541,3
1641,8
1902,34
1727,10
4328,16
6799,7
4530,29
1825,12
1240,9
6040,13
7390,8
5721,2
3755,18
5475,12
1619,1
5288,10
4655,34
708,13
2518,11
4549,30
5572,25
974,15
6239,2
5040,11
1368,4
1288,26
2112,14
7347,13
3019,34
2070,25
255,13
634,9
4367,14
7805,40
3996,37
793,2
1487,10
4357,1
5364,12
3880,2
7486,12
7531,11
2024,2
7488,11
6410,23
7290,25
138,34
6456,4
2328,9
2641,20
183,38
739,25
1726,13
5824,10
1832,38
2665,7
2459,23
5717,13
2261,3
4846,41
251,11
5051,25
5460,7
910,10
1184,4
2788,4
2760,2
2750,2
6351,9
6316,33
4654,30
3638,11
3273,10
2674,28
7045,10
1922,10
7272,1
438,12
1246,17
7106,22
3552,8
5751,2
2394,33
3101,5
4848,18
5977,2
5257,40
4473,12
5267,13
6304,2
6982,25
5782,18
7092,9
6210,12
6422,2
4098,2
5595,9
7202,4
4136,20
4685,5
4491,3
4125,4
3635,4
5590,1
3159,8
760,5
4020,12
3300,12
2925,29
1319,9
3790,3
2199,13
2942,15
1964,8
2218,10
4952,10
1394,11
3161,38
1169,1
